AirQualityStation,nature_osm_score,manmade_osm_score,road_distance_osm,StationType,AreaType,no2_average
STA.DE_DEBW087,0.9117131099342464,0.08516170408591803,1280.8489769149664,background,rural-regional,7.242141680728362
STA.DE_DEBB067,0.2907661350426815,0.5593185591228117,294.3282524233207,background,suburban,13.814766098254914
STA.DE_DEBB066,0.9412877334356784,2.822250894787215e-05,5131.7082618508975,background,rural-regional,8.665383063577082
STA.DE_DEBB065,0.9999999999999064,0.0,4647.4405300187345,background,rural-regional,9.19073816889043
STA.DE_DEBB064,0.2037165213168839,0.4833295434987962,215.99210758306785,background,urban,13.12275164180234
STA.DE_DEBB063,0.35206951239205475,0.4259602737959061,2055.245013686148,background,suburban,10.881411429099508
STA.DE_DEBB060,0.3425792838677709,0.4632141550473104,8.061752604742727,traffic,urban,23.43519624722085
STA.DE_DEBB055,0.2966247511978817,0.5590455897508521,279.0471850881232,background,suburban,14.161330134370283
STA.DE_DEBB054,0.33981546175887084,0.4270458242619817,16.910071454898578,traffic,urban,36.19961044534144
STA.DE_DEBB053,0.9727214217628468,0.026538213805712123,1622.4447567299646,background,rural-regional,9.919649977139366
STA.DE_DEBB049,0.23237537523859714,0.5988873541183414,949.4936421097867,traffic,urban,26.488816777072664
STA.DE_DEBB048,0.2835330756229053,0.6028169821863011,99.02077650154308,background,suburban,13.586103373807047
STA.DE_DEBB045,0.09375741489753747,0.8569108830852109,9.137568574592217,traffic,urban,34.49754974891982
STA.DE_DEBB044,0.07048423841013605,0.4394459079736801,47.17919270020235,traffic,urban,27.492486538602687
STA.DE_DEBB032,0.1588827182323078,0.7018847190227321,177.12712756117443,industrial,suburban,12.264171835504445
STA.DE_DEBB029,0.11755307844619005,0.6848004502571271,275.87953038794757,industrial,suburban,11.617052161943901
STA.DE_DEBB021,0.16470847401401414,0.6388136901770856,267.19238585367725,background,urban,17.588310081703494
STA.DE_DEBB007,0.3928273213946343,0.4807755779546051,117.2266705542004,background,suburban,13.838710071911454
STA.DE_DEBB068,0.15565388524516952,0.5846702450895258,4.0388795539762175,traffic,urban,23.90097712030808
STA.CZ_ZZLN,0.5016362203296073,0.8758148794551572,492.265798665312,background,suburban,12.406200058663847
STA.DE_DEBB073,0.1806688884894385,0.6930497596638963,7.396455912401747,traffic,urban,32.6388490834955
STA.DE_DEBB083,0.29853547199474195,0.6028851884631232,345.3295112261623,background,suburban,10.883806057163637
STA.DE_DEBE065,0.06030885908267065,0.776434495190398,4.4087541390242695,traffic,urban,37.52893194423252
STA.DE_DEBE064,0.05977087339698708,0.6892560766440324,1.5876934396880291,traffic,urban,45.03591008236657
STA.DE_DEBE063,0.09209019376400436,0.7005952303529553,41.44040682993893,traffic,urban,48.96229579161644
STA.DE_DEBE062,0.7689844445961271,0.17985989390816098,339.19110887800184,background,rural-nearcity,13.648246514357936
STA.DE_DEBE061,0.02393555649016397,0.7564500485161733,10.203529821312255,traffic,urban,43.47794780001495
STA.DE_DEBE056,0.7029978725211431,0.1391935965891411,121.58312494787714,background,rural-nearcity,12.977069052779386
